product_id,reporting_date,country_code,units,price,sales,cogs,discounts,refunds,advertising_fees,returns,sde,fees
44,2022-01-10,de,22,17.088636364,375.95,-131.56,-2.34,-17.59,-86.89,,-1.01,-138.57999999999998
22,2022-01-10,fr,1,24.99,24.99,-4.67,0.0,,-2.48,,7.59,-10.25
12,2022-01-11,de,1,25.2,25.2,-3.53,0.0,-26.39,-5.24,,-16.98,-7.02
1,2022-01-11,de,1,47.04,47.04,-15.27,0.0,,-5.24,1.0,29.55,-12.25
20,2022-01-11,de,10,30.278000000000002,302.78,-58.6,-8.85,-30.79,-52.35,1.0,65.91,-92.14
0,2022-01-11,de,1,46.21,46.21,-16.38,0.0,,-5.24,,12.34,-12.25
4,2022-01-11,de,15,21.473333333,322.1,-82.95,-4.71,-23.39,-78.53,3.0,69.53,-74.05
18,2022-01-11,es,1,29.99,29.99,-5.72,0.0,,-0.32,,15.07,-8.879999999999999
33,2022-01-11,de,3,9.386666667,28.16,-2.64,-2.51,,-15.71,1.0,2.33,-5.85
11,2022-01-11,de,7,15.904285714,111.33,-13.58,-3.35,,-36.65,,21.21,-36.54
17,2022-01-11,us,39,30.988461538000003,1208.55,-206.9,-7.96,-51.47,-156.4,3.0,410.59,-375.23
34,2022-01-11,de,75,8.6,645.0,-156.75,-26.85,-17.58,-392.63,6.0,-132.42,-196.15
40,2022-01-11,de,19,25.788947368000002,489.99,-132.05,-9.22,-79.17,-99.47,,34.04,-136.04
22,2022-01-11,fr,1,24.99,24.99,-4.67,0.0,,-1.64,,8.43,-10.25
42,2022-01-11,de,8,25.6075,204.86,-55.6,-2.74,,-41.88,,48.48,-56.16
8,2022-01-11,es,1,16.52,16.52,-5.57,0.0,,-0.32,,2.48,-8.15
44,2022-01-11,de,10,16.866,168.66,-59.8,-4.03,-47.49,-52.35,,-49.61,-54.599999999999994
3,2022-01-11,de,1,46.21,46.21,-16.12,0.0,,-5.24,,12.6,-12.25
24,2022-01-11,de,59,33.949491525,2003.02,-653.13,-26.41,-105.57,-308.87,7.0,422.56,-486.47999999999996
5,2022-01-11,de,1,23.0,23.0,-5.47,-1.68,-65.49,-5.24,5.0,-32.48,-4.95
1,2022-01-11,fr,1,48.32,48.32,-15.27,-2.08,,-1.64,,15.23,-14.1
34,2022-01-11,it,7,8.447142857000001,59.13,-14.63,0.0,,-11.3,,11.22,-21.979999999999997
20,2022-01-11,us,18,26.966666667,485.4,-114.5,-10.47,-23.22,-72.19,,99.06,-165.96
18,2022-01-11,us,3,26.386666666999997,79.16,-18.4,0.0,-23.22,-12.03,,-1.36,-26.87
7,2022-01-11,de,4,21.25,85.0,-20.72,-0.84,,-20.94,4.0,43.42,-19.8
19,2022-01-11,de,2,48.205,96.41,-29.28,-3.35,,-10.47,,28.81,-24.5
32,2022-01-11,de,39,21.35,832.65,-178.62,-9.38,-157.75,-204.17,5.0,0.66,-300.39
41,2022-01-11,de,24,25.956666666999997,622.96,-166.8,-7.03,-52.78,-125.64,,98.87,-171.84
26,2022-01-11,us,29,31.064482759,900.87,-169.16,-8.13,-154.41,-116.3,4.0,185.67,-278.87
8,2022-01-11,it,1,16.39,16.39,-5.57,0.0,-18.67,-1.61,,-15.15,-5.6899999999999995
8,2022-01-11,de,6,21.665,129.99,-33.42,-4.4,-23.39,-31.41,2.0,18.91,-29.6
22,2022-01-11,de,5,30.15,150.75,-23.35,-9.24,-30.79,-26.18,1.0,23.76,-42.099999999999994
33,2022-01-11,fr,1,8.33,8.33,-0.88,0.0,,-1.64,,2.62,-3.19
34,2022-01-11,fr,12,9.45,113.4,-25.08,-11.21,,-19.69,,23.85,-33.57
34,2022-01-11,us,4,11.4275,45.71,-10.28,0.0,,-16.04,,3.03,-16.36
18,2022-01-11,de,24,30.483333333,731.6,-137.28,-14.05,-184.74,-125.64,2.0,48.39,-221.5
36,2022-01-11,de,8,16.4575,131.66,-17.76,-3.34,,-41.88,,25.72,-42.96
6,2022-01-11,de,1,22.0,22.0,-4.95,-0.84,,-5.24,1.0,10.97,-4.95
13,2022-01-11,us,1,43.98,43.98,-16.21,0.0,,-4.01,,12.95,-10.81
43,2022-01-11,de,8,16.8,134.4,-47.84,-0.84,-31.66,-41.88,,-31.83,-44.010000000000005
32,2022-01-11,fr,3,25.323333333,75.97,-13.74,-0.83,,-4.92,,17.51,-38.97
15,2022-01-11,us,2,43.98,87.96,-27.82,0.0,,-8.02,,29.98,-22.14
2,2022-01-11,de,1,46.21,46.21,-17.25,0.0,,-5.24,,11.0,-12.719999999999999
37,2022-01-11,de,7,20.975714286,146.83,-49.42,0.0,,-36.65,,16.17,-44.59
21,2022-01-11,us,8,31.15,249.2,-33.43,-2.93,-75.85,-32.08,4.0,48.14,-56.77000000000001
38,2022-01-11,de,8,41.96625,335.73,-97.68,-8.39,,-41.88,1.0,108.32,-79.46000000000001
10,2022-01-11,de,1,15.44,15.44,-3.07,-1.68,,-5.24,,0.53,-4.92
25,2022-01-11,de,32,23.89625,764.68,-235.52,-15.37,-73.89,-167.52,,55.19,-217.19
27,2022-01-11,us,1,13.19,13.19,-6.81,0.0,,-4.01,,-2.41,-4.78
9,2022-01-11,de,5,8.526,42.63,-7.35,-3.63,-16.1,-26.18,,-27.13,-16.5
